CALIFORNIA MANAGEMENT REVIEW,A类核心期刊
MIS QUARTERLY,A类核心期刊
ACADEMY OF MANAGEMENT REVIEW,A类核心期刊
STRATEGIC MANAGEMENT JOURNAL,A类核心期刊
MANAGEMENT INTERNATIONAL REVIEW,A类核心期刊
JOURNAL OF OPERATIONS MANAGEMENT,A类核心期刊
INFORMATION SYSTEMS RESEARCH,A类核心期刊
ENTREPRENEURSHIP THEORY AND PRACTICE,A类核心期刊
中国社会科学,A类核心期刊
经济研究,A类核心期刊
管理科学学报,A类核心期刊
管理世界,A类核心期刊
系统工程理论与实践,A类核心期刊
数量经济技术经济研究,A类核心期刊
ISSN-1673-3010,A类核心期刊
ISSN-1002-6045,A类核心期刊
ISSN-1009-2528,A类核心期刊
ISSN-1002-5707,A类核心期刊
ISSN-1007-192X,A类核心期刊
ISSN-1007-5968 ,A类核心期刊
ISSN-1674-5337,A类核心期刊
ISSN-1006-7167,实验类核心期刊
ISSN-1002-4956,实验类核心期刊
ISSN-1672-4305,实验类核心期刊
ISSN-1002-1027,A类核心期刊
ISSN-0252-3116,A类核心期刊
ISSN-1001-201X,A类核心期刊
ISSN-1002-1620,A类核心期刊
ISSN-1009-3060 ,出版类核心刊物
ISSN-1002-4166,出版类核心刊物
ISSN-1671-9220,出版类核心刊物
ISSN-1007-3884 ,出版类核心刊物
ISSN-0495-5692,出版类核心刊物
ISSN-1001-4314,出版类核心刊物
ISSN-1001-7143,出版类核心刊物
ISSN-1005-5827,会计类核心期刊
ISSN-1009-6345,会计类核心期刊
ISSN-1674-5434,会计类核心期刊
ISSN-1671-0622,会计类核心期刊
ISSN-1004-0994,会计类核心期刊
ISSN-1005-0892,会计类核心期刊
ISSN-1004-4914,会计类核心期刊
ISSN-0529-1399,A类核心期刊
ISSN-1001-6740,A类核心期刊
ISSN-1002-8528,A类核心期刊
ISSN-1000-3363,A类核心期刊
ISSN-1002-1329,A类核心期刊
ISSN-1673-1530,A类核心期刊
ISSN-1001-831,A类核心期刊
CN-51-1260,A类核心期刊
ISSN-1000-1031,A类核心期刊
CN-23-1157,A类核心期刊
CN-42-1026,A类核心期刊
ISSN-1000-4750,A类核心期刊
CN-11-2595,A类核心期刊
ISSN-0254-7805,A类核心期刊
CN-42-1250,A类核心期刊
ISSN-1002-8331,A类核心期刊
CN-11-2127,A类核心期刊
ISSN-1007-4708,A类核心期刊
CN-21-1373,A类核心期刊
ISSN-1002-848X,A类核心期刊
CN-11-2833,A类核心期刊
ISSN-1000-6869,A类核心期刊
CN-11-1931,A类核心期刊
ISSN-0254-0053,A类核心期刊
CN-31-1829,A类核心期刊
ISSN-1000-0992,A类核心期刊
CN-11-1774,A类核心期刊
ISSN-0253-374X,A类核心期刊
CN-31-1267,A类核心期刊
ISSN-1000-131X,A类核心期刊
CN-11-2120,A类核心期刊
ISSN-1000-4548,A类核心期刊
CN-32-1124,A类核心期刊
ISSN-1000-0887,A类核心期刊
CN-51-1137,A类核心期刊
ISSN-1004-4523,A类核心期刊
CN-32-1349,A类核心期刊
ISSN-1001-7372,A类核心期刊
CN-61-1313,A类核心期刊
ISSN-1000-8993,A类核心期刊
CN-11-2068,A类核心期刊
ISSN-1005-0159,A类核心期刊
CN-31-1358,A类核心期刊
ISSN-1000-0879,A类核心期刊
CN-11-2064,A类核心期刊
ISSN-1003-4722,A类核心期刊
ISSN-1001-4632,A类核心期刊
ISSN-0258-2724,A类核心期刊
ISSN-1000-0054,A类核心期刊
ISSN-1001-0505,A类核心期刊
ISSN-1000-2472,A类核心期刊
ISSN-1002-8471,A类核心期刊
ISSN-1005-829X,A类核心期刊
ISSN-1000-3770,A类核心期刊
ISSN-1001-6791,A类核心期刊
ISSN-1000-4602,A类核心期刊
ISSN-1000-8942,A类核心期刊
ISSN-0250-3301,A类核心期刊
ISSN-1003-2487,A类核心期刊
ISSN-0253-2468,A类核心期刊
ISSN-1001-6929,A类核心期刊
ISSN-1001-3865,A类核心期刊
ISSN-1000-6923,A类核心期刊
ISSN-1003-8493,A类核心期刊
ISSN-1001-5531,A类核心期刊
ISSN-1674-8417,A类核心期刊
ISSN-1004-440X,A类核心期刊
ISSN-1003-8930,A类核心期刊
ISSN-1007-449X,A类核心期刊
ISSN-1000-1026,A类核心期刊
ISSN-1001-2095,A类核心期刊
ISSN-1000-3673,A类核心期刊
